student_id,score
S001,64.3
S002,68.9
S003,56.2
S004,62.1
S005,59.8
S006,63.4
S007,NA
S008,70.5
S009,58.7
S010,61.9
S011,65.6
S012,54.8
S013,63.7
S014,57.9
S015,66.8
S016,60.5
S017,64.9
S018,67.2
S019,55.4
S020,62.3
S021,69.4
S022,58.9
S023,64.1
S024,61.2
S025,66.5
S026,56.8
S027,63.2
S028,59.6
S029,68.3
S030,65.1
S031,57.4
S032,62.7
S033,70.1
S034,58.5
S035,65.7
S036,61.4
S037,67.6
S038,55.7
S039,64.2
S040,60.1
S041,69.7
S042,63.8
S043,NA
S044,59.2
S045,66.1
S046,62.4
S047,68.5
S048,56.9
S049,65.2
S050,61.6
S086,67.9
S087,NA
S088,63.5
S089,58.8
S090,65.4
S091,61.7
S092,68.8
S093,57.2
S094,64.6
S095,60.3
S096,69.1
S097,63.9
S098,58.4
S099,65.8
S100,62.2
S051,67.3
S052,57.6
S053,64.4
S054,60.7
S055,69.2
S056,58.2
S057,65.3
S058,62.1
S059,67.4
S060,55.9
S061,63.1
S062,59.8
S063,68.1
S064,64.7
S065,57.8
S066,62.5
S067,69.5
S068,58.3
S069,64.9
S070,61.1
S071,67.2
S072,55.6
S073,63.4
S074,59.9
S075,68.7
S076,57.1
S077,64.5
