



學號,期中考,期末考
1,23,54
2,40,49
3,3,0
4,43,66
5,79,84
7,36,69
10,24,79
11,54,90
12,44,80
13,20,54
14,30,55
15,74,90
18,30,58
19,69,45
20,51,75
21,0,58
22,14,45
23,23,64
24,37,76
25,69,86
26,65,89
27,58,67
28,48,55
30,65,92
31,50,58
32,43,63
33,56,68
34,89,98
35,61,91
36,35,93
37,21,64
38,46,75
39,44,71
40,70,71
41,45,72
42,21,58
43,31,88
44,69,71
47,41,69
48,34,64
49,63,71
50,21,62
51,8,46
52,53,52
53,34,76
54,41,62
55,24,73
57,35,63
58,34,51
59,33,60
60,24,64
61,20,63
62,45,58
65,40,30
67,57,31
68,68,68
70,75,84
